N°	COULEUR	JOURNALISTES	ARTICLE	STATUT	NB CARAC	LAST DAY:FIRST DAY		CODE COULEUR	NOMBRE	POLITIQUES	DONT FAKE	JOURNALISTES	PERSO							HIPSTER 1:5	HIPSTER 5:10	HIPSTER 10:15	EVENEMENTIEL 1:5	EVENEMENTIEL 5:10	EVENEMENTIEL 10:15	NOSTALGIE 1:5	NOSTALGIE 5:10	NOSTALGIE 10:15	ALARMISTE 1:5	ALARMISTE  5:10	ALARMISTE  10:15				HIPSTER 1:5	HIPSTER 5:10	HIPSTER 10:15	EVENEMENTIEL 1:5	EVENEMENTIEL 5:10	EVENEMENTIEL 10:15	NOSTALGIE 1:5	NOSTALGIE 5:10	NOSTALGIE 10:15	ALARMISTE 1:5	ALARMISTE  5:10	ALARMISTE  10:15
ref_1	EVENEMENTIEL	Rita Tutsuko	10 trucs bizarres que nos politiques font, le 3e va vous surprendre 	TRUE	68	1:5		EVENEMENTIEL	31	Lion & Buffle	13	Rita Tutsuko	Lion // M. Beauregard (surnomé B.R.)							0	0	0	1	0	0	0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0
ref_2	ALARMISTE	Suzi Grieffe	La vérité sur les propositions de Mr Lontarin	TRUE	45	5:10		NOSTALGIE	33	Rinho & Lion	13	Pierre Bernard	Lionne // Mademoiselle Beauregard							0	0	0	0	0	0	0	0	0	0	1	0				0	0	0	0	0	0	0	0	0	0	0	0
ref_3	HIPSTER	Valérie Lesplantes	Les conséquences environnementales de la production de cacahuète	TRUE	64	10:15		ALARMISTE	31	Rinho & Zebre	13	Dan Crawford	Rhino // Lontarin							0	0	1	0	0	0	0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0
ref_4	NOSTALGIE	Céline Delindon	Les 10 recettes de nos grands-mères	TRUE	35	1:5		HIPSTER	31	Zebre & Buffle	13	Claire Rimeline	Buffle // Bill Ruffalo							0	0	0	0	0	0	1	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0
ref_5	HIPSTER	Claire Rimeline	Quel type de quinoa êtes vous ?	TRUE	31	1:5				Neutre		Suzi Grieffe	Zèbre // Z							1	0	0	0	0	0	0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0
ref_6	HIPSTER	Dan Crawford	Où trouver les meilleurs vélos pour quadrupède ?	TRUE	48	1:5		PLACE				Grace Gralin								1	0	0	0	0	0	0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0
ref_7	EVENEMENTIEL	Grace Gralin	Trahison ! La dernière conquête de Bill Ruffalo se confie !	TRUE	59	1:5		1:5	32			Coline Blois								0	0	0	1	0	0	0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0
ref_8	NOSTALGIE	Pierre Bernard	La part du lion : que reste-t-il de la politique de Beauregard dans le programme de sa fille ?	TRUE	94	10:15		05:10	40			Valérie Lesplantes								0	0	0	0	0	0	0	0	1	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0
ref_9	ALARMISTE	Kate Preston	Ce que ne vous dit pas la presse : la vérité sur les dessous du complot mammifero-félidé	TRUE	88	10:15		10:15	54			David Puget								0	0	0	0	0	0	0	0	0	0	0	1				0	0	0	0	0	0	0	0	0	0	0	0
ref_10	EVENEMENTIEL	Eric Scruter	Chez les Beauregard, Madmoiselle était la petite protégée.	TRUE	58	10:15						Louise Salami								0	0	0	0	0	1	0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0
ref_11	HIPSTER	Rita Tutsuko	Pourquoi la chemise de bûcheron est elle un acte politique ?	TRUE	60	10:15						Lionel Maurin								0	0	1	0	0	0	0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0
ref_12	ALARMISTE	Dan Crawford	Mlle Beauregard aurait perçu de l'argent venu de pays étrangers.	TRUE	64	10:15		EVENEMENTIEL 1:5	8		0	Sybille Riloff								0	0	0	0	0	0	0	0	0	0	0	1				0	0	0	0	0	0	0	0	0	0	0	0
ref_13	NOSTALGIE	Valérie Lesplantes	"Aujourd'hui, dans la rue, c'est plus les mêmes gens, m'voyez", un témoignage ordinaire	FAKE	87	10:15		EVENEMENTIEL 5:10	10		5	Kate Preston								0	0	0	0	0	0	0	0	1	0	0	0				0	0	0	0	0	0	0	0	1	0	0	0
ref_14	EVENEMENTIEL	Jess Carlin	La vie royale : comment Beauregard gère sa vie de femme tiraillée	FAKE	65	10:15		EVENEMENTIEL 10:15	13		8	Jess Carlin								0	0	0	0	0	1	0	0	0	0	0	0				0	0	0	0	0	1	0	0	0	0	0	0
ref_15	ALARMISTE	Suzi Grieffe	"Le crime a augmenté pour moi, c'est évident", un témoignage édifiant	FAKE	69	5:10		NOSTALGIE 1:5	8		0	Paul Dorade								0	0	0	0	0	0	0	0	0	0	1	0				0	0	0	0	0	0	0	0	0	0	1	0
ref_16	HIPSTER	Dan Crawford	La levée de fond de ZebraTM atteint des records !	TRUE	49	1:5		NOSTALGIE 5:10	10		5	Céline Delindon								1	0	0	0	0	0	0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0
ref_17	ALARMISTE	Valérie Lesplantes	Affaire des marais pollués : les hyènes montrent patte blanche	TRUE	62	5:10		NOSTALGIE 10:15	13		8	Eric Scruter								0	0	0	0	0	0	0	0	0	0	1	0				0	0	0	0	0	0	0	0	0	0	0	0
ref_18	HIPSTER	Claire Rimeline	Les coins les plus branchés de la savane pour les vacances	TRUE	58	10:15		ALARMISTE 1:5	8		0	Derrick Zammour								0	0	1	0	0	0	0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0
ref_19	EVENEMENTIEL	Kate Preston	Reportage photo : tension entre Mlle Beauregard et son père	TRUE	59	5:10		ALARMISTE 10:15	10		5	Nathalie Colonie								0	0	0	0	1	0	0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0
ref_20	NOSTALGIE	Eric Scruter	Ces animaux qui sont revenus à l'alimentation d'antan	TRUE	53	10:15		ALARMISTE 15:10	13		8	Agnès-Sylvie Latoff								0	0	0	0	0	0	0	0	1	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0
ref_21	EVENEMENTIEL	Grace Gralin	Indiscrétions dans la famille royale, notre enquête exclusive !	TRUE	63	5:10		HIPSTER 1:5	8		0	Larry Delamaison								0	0	0	0	1	0	0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0
